                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.36874,                0.27349,                0.86026,                0.98379,                0.96872,                0.99384,                 0.9227,                0.43394,                  0.245,                 0.7949,               0.002377,               0.002377,               0.002377
                     79,                0.35934,                0.25809,                0.85612,                0.98698,                0.96784,                0.99423,                0.92151,                0.43061,                0.22182,                0.79056,               0.002278,               0.002278,               0.002278
                     80,                0.35536,                0.26115,                0.85423,                0.97377,                0.98555,                0.99142,                0.91709,                0.41993,                0.23009,                0.78967,               0.002179,               0.002179,               0.002179
                     81,                 0.3579,                0.26357,                0.85921,                0.98554,                0.97275,                0.99424,                0.91944,                0.43103,                0.22401,                   0.79,                0.00208,                0.00208,                0.00208
                     82,                0.34935,                0.25169,                0.84978,                0.95908,                0.96924,                0.99139,                0.91767,                0.43138,                0.25535,                0.79282,               0.001981,               0.001981,               0.001981
                     83,                0.35439,                0.25605,                0.85953,                0.98665,                0.98187,                0.99406,                0.92436,                0.42511,                0.22801,                0.79037,               0.001882,               0.001882,               0.001882
                     84,                0.34411,                0.25153,                0.85123,                0.94264,                0.99106,                0.99402,                0.92158,                0.42173,                0.23984,                0.78879,               0.001783,               0.001783,               0.001783
                     85,                0.33979,                0.24667,                0.85417,                0.96725,                0.97014,                0.99412,                0.91987,                0.43011,                0.23212,                0.79144,               0.001684,               0.001684,               0.001684
                     86,                0.34226,                 0.2451,                0.85662,                0.94577,                0.98656,                0.99377,                0.92241,                0.43543,                0.23995,                0.79528,               0.001585,               0.001585,               0.001585
                     87,                0.33997,                0.24709,                0.85577,                0.97281,                0.97915,                0.99443,                0.92067,                0.42529,                0.23591,                0.79381,               0.001486,               0.001486,               0.001486
                     88,                 0.3403,                 0.2334,                0.86038,                0.96041,                 0.9845,                0.99377,                 0.9231,                0.42914,                0.23403,                0.79221,               0.001387,               0.001387,               0.001387
                     89,                0.32891,                0.23931,                0.84677,                0.96777,                0.98006,                0.99438,                0.92191,                0.43382,                0.23275,                0.79596,               0.001288,               0.001288,               0.001288
                     90,                0.28636,                0.18833,                0.81482,                0.96745,                 0.9622,                0.99317,                0.91763,                0.43062,                0.24587,                0.79424,               0.001189,               0.001189,               0.001189
                     91,                0.28654,                0.18474,                0.82058,                0.96029,                0.97607,                0.99212,                0.91798,                 0.4333,                0.25333,                 0.7938,                0.00109,                0.00109,                0.00109
                     92,                0.28343,                0.18278,                0.81915,                0.97038,                 0.9807,                 0.9935,                0.91982,                0.42986,                0.22928,                0.79443,               0.000991,               0.000991,               0.000991
                     93,                0.27935,                 0.1843,                0.81902,                0.96113,                0.96383,                0.99285,                0.92057,                0.42476,                  0.252,                 0.7902,               0.000892,               0.000892,               0.000892
                     94,                 0.2693,                0.17409,                0.81459,                0.96639,                0.97568,                0.99364,                0.91917,                0.42407,                0.23729,                0.78969,               0.000793,               0.000793,               0.000793
                     95,                0.26936,                0.17623,                 0.8145,                0.95301,                0.98463,                0.99287,                0.92141,                0.42385,                0.24003,                0.78867,               0.000694,               0.000694,               0.000694
                     96,                0.26904,                0.17772,                0.81513,                0.94908,                0.98351,                0.99292,                0.91979,                0.41994,                0.24852,                0.78874,               0.000595,               0.000595,               0.000595
                     97,                0.26325,                0.17132,                0.81244,                 0.9622,                0.96161,                0.99123,                0.91781,                0.42547,                0.25792,                 0.7909,               0.000496,               0.000496,               0.000496
                     98,                0.25692,                0.16552,                0.81382,                0.95935,                0.96121,                0.99183,                0.91986,                0.42215,                 0.2567,                0.78944,               0.000397,               0.000397,               0.000397
                     99,                0.25094,                0.16393,                0.80756,                0.95337,                0.97213,                0.99087,                0.92405,                0.41892,                0.26165,                0.78839,               0.000298,               0.000298,               0.000298
